Rank,City,Population
1,Denver,715878
2,Colorado Springs,471686
3,Aurora,379434
4,Fort Collins,166069
5,Lakewood,155733
6,Thornton,144186
7,Arvada,120229
8,Westminster,114832
9,Pueblo,111776
10,Centennial,111331
11,Boulder,108777
12,Greeley,107445
13,Highlands Ranch,107017
14,Longmont,95864
15,Loveland,81774
16,Broomfield,69444
17,Castle Rock,65176
18,Grand Junction,62218
19,Commerce City,55891
20,Parker,55460
21,Littleton,46208
22,Northglenn,39201
23,Security-Widefield,38645
24,Brighton,38355
25,Englewood,34840
26,Dakota Ridge,34655
27,Ken Caryl,33815
28,Pueblo West,32842
29,Wheat Ridge,31889
30,Fountain,30240
31,Lafayette,27952
32,Erie,27157
33,Columbine,25892
34,Windsor,23679
35,Evans,22128
36,Four Square Mile,21993
37,Clifton,20783
38,Golden,20391
39,Durango,19413
40,Montrose,19396
41,Louisville,19342
42,Sherrelwood,19082
43,Cimarron Hills,18981
44,Cañon City,16369
45,Fort Carson,16243
46,Welby,15372
47,Greenwood Village,15100
48,Sterling,14421
49,Johnstown,14357
50,Fruita,14068
51,Federal Heights,13537
52,Lone Tree,13381
53,Superior,13292
54,Firestone,13165
55,Black Forest,13103
56,Steamboat Springs,13048
57,Cherry Creek,11503
58,Fort Morgan,11311
59,Berkley,11299
60,Castle Pines,10977
61,Gunbarrel,10494
62,Frederick,10414
63,Glenwood Springs,10048
64,The Pinery,10033
65,Stonegate,9860
66,Rifle,9771
67,Fairmount,9549
68,Evergreen,9475
69,Alamosa,9360
70,Edwards,9347
71,Derby,9156
72,Roxborough Park,9004
73,Craig,8978
74,Delta,8893
75,Redlands,8863
76,Cortez,8729
77,Wellington,8651
78,Fort Lupton,8600
79,Berthoud,8574
80,Woodmoor,8474
81,Fruitvale,8352
82,Applewood,8300
83,Trinidad,8076
84,Woodland Park,7943
85,Milliken,7862
86,Aspen,7721
87,Monument,7691
88,Lamar,7598
89,Twin Lakes CDP,7552
90,Gypsum,7049
91,La Junta,6907
92,Eagle,6896
93,Lochbuie,6795
94,Avon,6711
95,Cherry Hills Village,6680
96,Carbondale,6658
97,Gunnison,6653
98,Estes Park,6504
99,Orchard Mesa,6484
100,Air Force Academy,6368
101,Gleneagle,6256
102,Dacono,6167
103,Sheridan,6072
104,Shaw Heights,5987
105,Stratmoor,5960
106,Eaton,5646
107,Vail,5614
108,Severance,5611
109,Salida,5543
110,West Pleasant View,5417
111,Edgewater,5410
112,Brush,5408
113,Manitou Springs,5342
114,Glendale city,5186
115,Breckenridge,5054
116,Mead,4978
117,Dove Valley,4943
118,New Castle,4877
119,Battlement Mesa,4870
120,Meridian,4792
121,Todd Creek,4635
122,Silverthorne,4610
123,Castle Pines Village,4558
124,El Jebel,4349
125,Genesee,4099
126,Niwot,4085
127,Monte Vista,4072
128,Basalt,3941
129,Florence,3913
130,Rocky Ford,3833
131,Lincoln Park,3559
132,Ponderosa Park,3533
133,Yuma,3500
134,La Salle,3377
135,Burlington,3237
136,Penrose,3185
137,Orchard City,3164
138,Silt,3076
139,Platteville,3017
140,Strasburg,2987
141,Walsenburg,2982
142,Palmer Lake,2946
143,Buena Vista,2935
144,Frisco,2928
145,Acres Green,2888
146,Meridian Village,2840
147,Holly Hills,2815
148,Snowmass Village,2786
149,Palisade,2783
150,Meeker,2745
151,Leadville,2731
152,Hudson,2691
153,Cedaredge,2614
154,Coal Creek CDP,2605
155,Bennett,2603
156,Holyoke,2596
157,Bayfield,2550
158,Hayden,2452
159,Park Center,2397
160,Center,2379
161,Wray,2377
162,Rangely,2326
163,Lyons,2302
164,Laporte,2299
165,Las Animas,2286
166,Granby,2281
167,Leadville North and Colorado City,2200
168,Ault,2153
169,Aristocrat Ranchettes,2080
170,Akron,2073
171,Telluride,2059
172,Timnath,1916
173,Kersey,1879
174,Inverness,1863
175,Idaho Springs,1848
176,Parachute,1839
177,Perry Park,1821
178,Olathe,1800
179,Stepping Stone,1798
180,Mountain Village,1776
181,Keenesburg,1774
182,Elizabeth,1754
183,Pagosa Springs,1751
184,Sierra Ridge,1742
185,Ordway,1642
186,Kremmling,1618
187,Loma,1571
188,Paonia,1528
189,Del Norte,1509
190,Columbine Valley,1498
191,Nederland,1465
192,Ignacio,1411
193,Gilcrest and Springfield,1381
194,Indian Hills,1363
195,Pierce,1352
196,Mancos,1349
197,Byers,1338
198,Crested Butte,1335
199,Fraser,1304
200,Sanford,1260
201,Julesburg,1246
202,Aetna Estates,1231
203,Hotchkiss,1230
204,Georgetown,1205
205,Wiggins,1170
206,Limon,1161
207,Minturn,1149
208,Ridgway,1142
209,Towaoc,1140
210,Fowler,1139
211,Lazy Acres,1071
212,Log Lane Village,1057
213,Mount Crested Butte,1050
214,Ouray,1046
215,Aspen Park,1045
216,Poncha Springs,1041
217,Manassa,1039
218,Dolores,1017
219,Ellicott,1012
220,Alamosa East,987
221,Cripple Creek,975
