Page,Source,Device Category,Landing Page,Social Source Referral,Pageviews,Sessions,Connect to Provider (Goal 1 Completions),Avg. Time on Page,Hits,Session Duration,Users
/,google,desktop,/,No,96,82,0,42.04,97,14541.00,61
/,(direct),desktop,/,No,92,72,0,72.96,92,13146.00,60
/participating-providers/,alittlehelp.org,desktop,/participating-providers/,No,48,32,0,143.93,62,8066.00,31
/blog/formal-vs-informal-caregiving/,google,desktop,/blog/formal-vs-informal-caregiving/,No,35,30,0,360.20,35,1881.00,30
/participating-providers/,google,desktop,/,No,29,0,0,176.53,37,0.00,20
/,alittlehelp.org,desktop,/,No,28,17,0,23.04,28,4228.00,1
/,google,mobile,/,No,25,19,0,47.67,26,2005.00,15
/about/,google,desktop,/,No,25,0,0,168.50,26,0.00,15
/about/,(direct),desktop,/,No,23,0,0,160.86,23,0.00,14
/,(direct),mobile,/,No,22,18,0,107.20,22,1386.00,12
/blog/formal-vs-informal-caregiving/,google,mobile,/blog/formal-vs-informal-caregiving/,No,20,19,0,652.00,20,652.00,18
/blog/why-activities-of-daily-living-are-so-important/,google,desktop,/blog/why-activities-of-daily-living-are-so-important/,No,19,18,0,1518.00,19,1518.00,17
/,hs_email,desktop,/,No,16,12,0,9.38,20,2008.00,2
/directory-submission-form/,(direct),desktop,/directory-submission-form/,No,16,10,0,113.86,16,2099.00,7
/blog/why-activities-of-daily-living-are-so-important/,google,mobile,/blog/why-activities-of-daily-living-are-so-important/,No,15,13,0,332.00,15,664.00,11
/participating-providers/,(direct),desktop,/,No,15,0,0,148.90,19,0.00,14
/get-involved/,google,desktop,/,No,12,0,0,27.25,12,0.00,7
/provider/nymbl-science/,(direct),desktop,/provider/nymbl-science/,No,12,12,0,6.00,13,6.00,5
/community-resources/,google,desktop,/community-resources/,No,11,9,0,73.67,11,1840.00,9
/,highlandsranch.org,desktop,/,No,10,1,0,38.33,10,343.00,1
/technology/,google,desktop,/technology/,No,10,5,0,110.00,10,1567.00,4
/blog/,(direct),desktop,/,No,9,0,0,29.22,9,0.00,3
/blog/category/webinars/,google,desktop,/,No,9,0,0,22.00,9,0.00,6
/community-resources/,google,mobile,/community-resources/,No,8,6,0,353.25,8,1689.00,6
/directory-submission-form/,google,desktop,/directory-submission-form/,No,8,5,0,597.80,8,4942.00,3
/participating-providers/,google,mobile,/,No,8,0,0,76.20,11,0.00,5
/provider/aging-with-dignity-five-wishes/,google,desktop,/provider/aging-with-dignity-five-wishes/,No,8,5,0,62.00,10,236.00,5
/senior-housing-options/,google,desktop,/,No,8,0,0,24.00,8,0.00,6
/,bing,desktop,/,No,7,6,0,97.00,7,1057.00,5
/,cultivate.ngo,desktop,/,No,7,5,0,175.20,7,2433.00,3
/about/,(direct),desktop,/about/,No,7,6,0,67.00,7,81.00,5
/about/,google,desktop,/about/,No,7,5,0,60.50,7,481.00,4
/blog/category/webinars/,cultivate.ngo,desktop,/,No,7,0,0,7.43,7,0.00,1
/blog/falls-are-preventable-heres-how/,l.facebook.com,mobile,/blog/falls-are-preventable-heres-how/,Yes,7,7,0,0.00,7,0.00,6
